i t amp pha
0 -14.000000 0.600000 1.884956
1 -13.971972 0.594394 1.902566
2 -13.943944 0.588789 1.920177
3 -13.915916 0.583183 1.937787
4 -13.887888 0.577578 1.955398
5 -13.859860 0.571972 1.973008
6 -13.831832 0.566366 1.990619
7 -13.803804 0.560761 2.008229
8 -13.775776 0.555155 2.025840
9 -13.747748 0.549550 2.043450
10 -13.719720 0.543944 2.061061
11 -13.691692 0.538338 2.078671
12 -13.663664 0.532733 2.096282
13 -13.635636 0.527127 2.113892
14 -13.607608 0.521522 2.131503
15 -13.579580 0.515916 2.149114
16 -13.551552 0.510310 2.166724
17 -13.523524 0.504705 2.184335
18 -13.495495 0.499099 2.201945
19 -13.467467 0.493493 2.219556
20 -13.439439 0.487888 2.237166
21 -13.411411 0.482282 2.254777
22 -13.383383 0.476677 2.272387
23 -13.355355 0.471071 2.289998
24 -13.327327 0.465465 2.307608
25 -13.299299 0.459860 2.325219
26 -13.271271 0.454254 2.342829
27 -13.243243 0.448649 2.360440
28 -13.215215 0.443043 2.378050
29 -13.187187 0.437437 2.395661
30 -13.159159 0.431832 2.413271
31 -13.131131 0.426226 2.430882
32 -13.103103 0.420621 2.448493
33 -13.075075 0.415015 2.466103
34 -13.047047 0.409409 2.483714
35 -13.019019 0.403804 2.501324
36 -12.990991 0.398198 2.518935
37 -12.962963 0.392593 2.536545
38 -12.934935 0.386987 2.554156
39 -12.906907 0.381381 2.571766
40 -12.878879 0.375776 2.589377
41 -12.850851 0.370170 2.606987
42 -12.822823 0.364565 2.624598
43 -12.794795 0.358959 2.642208
44 -12.766767 0.353353 2.659819
45 -12.738739 0.347748 2.677429
46 -12.710711 0.342142 2.695040
47 -12.682683 0.336537 2.712650
48 -12.654655 0.330931 2.730261
49 -12.626627 0.325325 2.747872
50 -12.598599 0.319720 2.765482
51 -12.570571 0.314114 2.783093
52 -12.542543 0.308509 2.800703
53 -12.514515 0.302903 2.818314
54 -12.486486 0.297297 2.835924
55 -12.458458 0.291692 2.853535
56 -12.430430 0.286086 2.871145
57 -12.402402 0.280480 2.888756
58 -12.374374 0.274875 2.906366
59 -12.346346 0.269269 2.923977
60 -12.318318 0.263664 2.941587
61 -12.290290 0.258058 2.959198
62 -12.262262 0.252452 2.976808
63 -12.234234 0.246847 2.994419
64 -12.206206 0.241241 3.012029
65 -12.178178 0.235636 3.029640
66 -12.150150 0.230030 3.047251
67 -12.122122 0.224424 3.064861
68 -12.094094 0.218819 3.082472
69 -12.066066 0.213213 3.100082
70 -12.038038 0.207608 3.117693
71 -12.010010 0.202002 3.135303
72 -11.981982 0.196396 3.152914
73 -11.953954 0.190791 3.170524
74 -11.925926 0.185185 3.188135
75 -11.897898 0.179580 3.205745
76 -11.869870 0.173974 3.223356
77 -11.841842 0.168368 3.240966
78 -11.813814 0.162763 3.258577
79 -11.785786 0.157157 3.276187
80 -11.757758 0.151552 3.293798
81 -11.729730 0.145946 3.311408
82 -11.701702 0.140340 3.329019
83 -11.673674 0.134735 3.346630
84 -11.645646 0.129129 3.364240
85 -11.617618 0.123524 3.381851
86 -11.589590 0.117918 3.399461
87 -11.561562 0.112312 3.417072
88 -11.533534 0.106707 3.434682
89 -11.505506 0.101101 3.452293
90 -11.477477 0.095495 3.469903
91 -11.449449 0.089890 3.487514
92 -11.421421 0.084284 3.505124
93 -11.393393 0.078679 3.522735
94 -11.365365 0.073073 3.540345
95 -11.337337 0.067467 3.557956
96 -11.309309 0.061862 3.575566
97 -11.281281 0.056256 3.593177
98 -11.253253 0.050651 3.610787
99 -11.225225 0.045045 3.628398
100 -11.197197 0.039439 3.646009
101 -11.169169 0.033834 3.663619
102 -11.141141 0.028228 3.681230
103 -11.113113 0.022623 3.698840
104 -11.085085 0.017017 3.716451
105 -11.057057 0.011411 3.734061
106 -11.029029 0.005806 3.751672
107 -11.001001 0.000200 3.769282
108 -10.972973 0.000000 3.786893
109 -10.944945 0.000000 3.804503
110 -10.916917 0.000000 3.822114
111 -10.888889 0.000000 3.839724
112 -10.860861 0.000000 3.857335
113 -10.832833 0.000000 3.874945
114 -10.804805 0.000000 3.892556
115 -10.776777 0.000000 3.910166
116 -10.748749 0.000000 3.927777
117 -10.720721 0.000000 3.945388
118 -10.692693 0.000000 3.962998
119 -10.664665 0.000000 3.980609
120 -10.636637 0.000000 3.998219
121 -10.608609 0.000000 4.015830
122 -10.580581 0.000000 4.033440
123 -10.552553 0.000000 4.051051
124 -10.524525 0.000000 4.068661
125 -10.496496 0.000000 4.086272
126 -10.468468 0.000000 4.103882
127 -10.440440 0.000000 4.121493
128 -10.412412 0.000000 4.139103
129 -10.384384 0.000000 4.156714
130 -10.356356 0.000000 4.174324
131 -10.328328 0.000000 4.191935
132 -10.300300 0.000000 4.209545
133 -10.272272 0.000000 4.227156
134 -10.244244 0.000000 4.244767
135 -10.216216 0.000000 4.262377
136 -10.188188 0.000000 4.279988
137 -10.160160 0.000000 4.297598
138 -10.132132 0.000000 4.315209
139 -10.104104 0.000000 4.332819
140 -10.076076 0.000000 4.350430
141 -10.048048 0.000000 4.368040
142 -10.020020 0.000000 4.385651
143 -9.991992 0.000000 4.403261
144 -9.963964 0.000000 4.420872
145 -9.935936 0.000000 4.438482
146 -9.907908 0.000000 4.456093
147 -9.879880 0.000000 4.473703
148 -9.851852 0.000000 4.491314
149 -9.823824 0.000000 4.508924
150 -9.795796 0.000000 4.526535
151 -9.767768 0.000000 4.544146
152 -9.739740 0.000000 4.561756
153 -9.711712 0.000000 4.579367
154 -9.683684 0.000000 4.596977
155 -9.655656 0.000000 4.614588
156 -9.627628 0.000000 4.632198
157 -9.599600 0.000000 4.649809
158 -9.571572 0.000000 4.667419
159 -9.543544 0.000000 4.685030
160 -9.515516 0.000000 4.702640
161 -9.487487 0.000000 4.720251
162 -9.459459 0.000000 4.737861
163 -9.431431 0.000000 4.755472
164 -9.403403 0.000000 4.773082
165 -9.375375 0.000000 4.790693
166 -9.347347 0.000000 4.808303
167 -9.319319 0.000000 4.825914
168 -9.291291 0.000000 4.843525
169 -9.263263 0.000000 4.861135
170 -9.235235 0.000000 4.878746
171 -9.207207 0.000000 4.896356
172 -9.179179 0.000000 4.913967
173 -9.151151 0.000000 4.931577
174 -9.123123 0.000000 4.949188
175 -9.095095 0.000000 4.966798
176 -9.067067 0.000000 4.984409
177 -9.039039 0.000000 5.002019
178 -9.011011 0.000000 5.019630
179 -8.982983 0.000000 5.037240
180 -8.954955 0.000000 5.054851
181 -8.926927 0.000000 5.072461
182 -8.898899 0.000000 5.090072
183 -8.870871 0.000000 5.107682
184 -8.842843 0.000000 5.125293
185 -8.814815 0.000000 5.142904
186 -8.786787 0.000000 5.160514
187 -8.758759 0.000000 5.178125
188 -8.730731 0.000000 5.195735
189 -8.702703 0.000000 5.213346
190 -8.674675 0.000000 5.230956
191 -8.646647 0.000000 5.248567
192 -8.618619 0.000000 5.266177
193 -8.590591 0.000000 5.283788
194 -8.562563 0.000000 5.301398
195 -8.534535 0.000000 5.319009
196 -8.506507 0.000000 5.336619
197 -8.478478 0.000000 5.354230
198 -8.450450 0.000000 5.371840
199 -8.422422 0.000000 5.389451
200 -8.394394 0.000000 5.407061
201 -8.366366 0.000000 5.424672
202 -8.338338 0.000000 5.442283
203 -8.310310 0.000000 5.459893
204 -8.282282 0.000000 5.477504
205 -8.254254 0.000000 5.495114
206 -8.226226 0.000000 5.512725
207 -8.198198 0.000000 5.530335
208 -8.170170 0.000000 5.547946
209 -8.142142 0.000000 5.565556
210 -8.114114 0.000000 5.583167
211 -8.086086 0.000000 5.600777
212 -8.058058 0.000000 5.618388
213 -8.030030 0.000000 5.635998
214 -8.002002 0.000000 5.653609
215 -7.973974 0.000000 5.671219
216 -7.945946 0.000000 5.688830
217 -7.917918 0.000000 5.706440
218 -7.889890 0.000000 5.724051
219 -7.861862 0.000000 5.741662
220 -7.833834 0.000000 5.759272
221 -7.805806 0.000000 5.776883
222 -7.777778 0.000000 5.794493
223 -7.749750 0.000000 5.812104
224 -7.721722 0.000000 5.829714
225 -7.693694 0.000000 5.847325
226 -7.665666 0.000000 5.864935
227 -7.637638 0.000000 5.882546
228 -7.609610 0.000000 5.900156
229 -7.581582 0.000000 5.917767
230 -7.553554 0.000000 5.935377
231 -7.525526 0.000000 5.952988
232 -7.497497 0.000000 5.970598
233 -7.469469 0.000000 5.988209
234 -7.441441 0.000000 6.005819
235 -7.413413 0.000000 6.023430
236 -7.385385 0.000000 6.041041
237 -7.357357 0.000000 6.058651
238 -7.329329 0.000000 6.076262
239 -7.301301 0.000000 6.093872
240 -7.273273 0.000000 6.111483
241 -7.245245 0.000000 6.129093
242 -7.217217 0.000000 6.146704
243 -7.189189 0.000000 6.164314
244 -7.161161 0.000000 6.181925
245 -7.133133 0.000000 6.199535
246 -7.105105 0.000000 6.217146
247 -7.077077 0.000000 6.234756
248 -7.049049 0.000000 6.252367
249 -7.021021 0.000000 6.269977
250 -6.992993 0.007007 0.004403
251 -6.964965 0.035035 0.022013
252 -6.936937 0.063063 0.039624
253 -6.908909 0.091091 0.057234
254 -6.880881 0.119119 0.074845
255 -6.852853 0.147147 0.092455
256 -6.824825 0.175175 0.110066
257 -6.796797 0.203203 0.127676
258 -6.768769 0.231231 0.145287
259 -6.740741 0.259259 0.162897
260 -6.712713 0.287287 0.180508
261 -6.684685 0.315315 0.198118
262 -6.656657 0.343343 0.215729
263 -6.628629 0.371371 0.233340
264 -6.600601 0.399399 0.250950
265 -6.572573 0.427427 0.268561
266 -6.544545 0.455455 0.286171
267 -6.516517 0.483483 0.303782
268 -6.488488 0.511512 0.321392
269 -6.460460 0.539540 0.339003
270 -6.432432 0.567568 0.356613
271 -6.404404 0.595596 0.374224
272 -6.376376 0.623624 0.391834
273 -6.348348 0.651652 0.409445
274 -6.320320 0.679680 0.427055
275 -6.292292 0.707708 0.444666
276 -6.264264 0.735736 0.462276
277 -6.236236 0.763764 0.479887
278 -6.208208 0.791792 0.497497
279 -6.180180 0.819820 0.515108
280 -6.152152 0.847848 0.532719
281 -6.124124 0.875876 0.550329
282 -6.096096 0.903904 0.567940
283 -6.068068 0.931932 0.585550
284 -6.040040 0.959960 0.603161
285 -6.012012 0.987988 0.620771
286 -5.983984 0.996797 0.638382
287 -5.955956 0.991191 0.655992
